TypeName,TypeKind,QualName,Subtype,ParentNames,ChildNames
HandlerDeclareBlockDecl,Data,cl.runtime.schema.handler_declare_block_decl.HandlerDeclareBlockDecl,None,HandlerDeclareBlockDecl,HandlerDeclareBlockDecl
HandlerDeclareDecl,Data,cl.runtime.schema.handler_declare_decl.HandlerDeclareDecl,None,HandlerDeclareDecl,HandlerDeclareDecl
HandlerParamDecl,Data,cl.runtime.schema.handler_param_decl.HandlerParamDecl,None,HandlerParamDecl;HandlerVariableDecl;MemberDecl,HandlerParamDecl
HandlerVariableDecl,Data,cl.runtime.schema.handler_variable_decl.HandlerVariableDecl,None,HandlerVariableDecl;MemberDecl,HandlerParamDecl;HandlerVariableDecl
HeatMapPlot,Record,cl.runtime.plots.heat_map_plot.HeatMapPlot,None,HeatMapPlot;MatplotlibPlot;Plot;PlotKey,HeatMapPlot
HtmlView,Record,cl.runtime.views.html_view.HtmlView,None,HtmlView;View;ViewKey,HtmlView
In,Data,cl.runtime.records.predicates.In,None,In;Predicate,In
InstanceMethodTask,Record,cl.runtime.tasks.instance_method_task.InstanceMethodTask,None,InstanceMethodTask;MethodTask;Task;TaskKey,InstanceMethodTask
IntFormat,Enum,cl.runtime.serializers.int_format.IntFormat,None,,
JinjaTemplateEngine,Record,cl.runtime.templates.jinja_template_engine.JinjaTemplateEngine,None,JinjaTemplateEngine;TemplateEngine;TemplateEngineKey,JinjaTemplateEngine
JsonEncoder,Data,cl.runtime.serializers.json_encoder.JsonEncoder,None,Encoder;JsonEncoder,JsonEncoder
JsonFormat,Enum,cl.runtime.serializers.json_format.JsonFormat,None,,
JsonReader,Record,cl.runtime.file.json_reader.JsonReader,None,JsonReader;Reader;ReaderKey,JsonReader
JsonSerializer,Data,cl.runtime.serializers.json_serializer.JsonSerializer,None,JsonSerializer;Serializer,JsonSerializer
KeyDecl,Record,cl.runtime.schema.key_decl.KeyDecl,None,KeyDecl;TypeDecl;TypeDeclKey,KeyDecl
KeyFormat,Enum,cl.runtime.serializers.key_format.KeyFormat,None,,
KeyListView,Record,cl.runtime.views.key_list_view.KeyListView,None,KeyListView;View;ViewKey,KeyListView
